Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,26000,,3100,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,16570,,2542,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,181730,,35218,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,2124827,,405568,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,103640,,22216,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1007916,,162788,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1440407,,289634,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,247146,,52366,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,724,Spain,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,95710,,24139,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,50980,,5898,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,620,Portugal,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,95420,,19507,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,2151911,,438992,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,247146,,52366,,,0
HS,2020,202004,April 2020,6,1,1,Imports,76,Brazil,,558,Nicaragua,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,202320,,31406,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,392800,,83583,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,591,Panama,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,477753,,94778,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,620,Portugal,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,103640,,22216,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1254274,,227207,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,589710,,125480,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,591,Panama,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,121794,,23878,,,0
HS,2020,202002,February 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,342156,,50691,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,3639795,,758020,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,819950,,141989,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,595650,,101129,,,0
HS,2020,202006,June 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,392820,,83654,,,0
